treatment,group,period,s_n_in,s_n_out,greater,less,equal,s0,s1,s2,s3
2,21,1,0,0,0,0,1,1,0,0,0
2,21,2,1,0,1,0,0,0,1,0,0
2,21,3,1,0,1,0,0,0,1,0,0
2,21,4,3,2,1,0,0,0,0,0,1
2,21,5,0,0,0,0,1,1,0,0,0
2,21,6,0,4,0,1,0,0,0,1,0
2,21,7,0,1,0,1,0,0,0,1,0
2,21,8,0,3,0,1,0,0,0,1,0
2,21,9,1,2,0,1,0,0,0,0,1
2,21,10,2,4,0,1,0,0,0,0,1
2,21,11,1,0,1,0,0,0,1,0,0
2,21,12,1,2,0,1,0,0,0,0,1
2,21,13,0,0,0,0,1,1,0,0,0
2,21,14,0,5,0,1,0,0,0,1,0
2,21,15,3,2,1,0,0,0,0,0,1
2,22,1,0,2,0,1,0,0,0,1,0
2,22,2,0,3,0,1,0,0,0,1,0
2,22,3,0,5,0,1,0,0,0,1,0
2,22,4,0,3,0,1,0,0,0,1,0
2,22,5,0,4,0,1,0,0,0,1,0
2,22,6,0,5,0,1,0,0,0,1,0
2,22,7,3,3,0,0,1,0,0,0,1
2,22,8,0,4,0,1,0,0,0,1,0
2,22,9,3,3,0,0,1,0,0,0,1
2,22,10,0,4,0,1,0,0,0,1,0
2,22,11,1,3,0,1,0,0,0,0,1
2,22,12,0,3,0,1,0,0,0,1,0
2,22,13,4,0,1,0,0,0,1,0,0
2,22,14,2,2,0,0,1,0,0,0,1
2,22,15,3,1,1,0,0,0,0,0,1
2,23,1,1,2,0,1,0,0,0,0,1
2,23,2,0,0,0,0,1,1,0,0,0
2,23,3,2,2,0,0,1,0,0,0,1
2,23,4,0,0,0,0,1,1,0,0,0
2,23,5,2,4,0,1,0,0,0,0,1
2,23,6,0,0,0,0,1,1,0,0,0
2,23,7,2,1,1,0,0,0,0,0,1
2,23,8,0,0,0,0,1,1,0,0,0
2,23,9,0,0,0,0,1,1,0,0,0
2,23,10,0,0,0,0,1,1,0,0,0
2,23,11,0,0,0,0,1,1,0,0,0
2,23,12,0,0,0,0,1,1,0,0,0
2,23,13,2,0,1,0,0,0,1,0,0
2,23,14,0,3,0,1,0,0,0,1,0
2,23,15,1,3,0,1,0,0,0,0,1
2,24,1,0,3,0,1,0,0,0,1,0
2,24,2,1,2,0,1,0,0,0,0,1
2,24,3,0,3,0,1,0,0,0,1,0
2,24,4,0,1,0,1,0,0,0,1,0
2,24,5,0,1,0,1,0,0,0,1,0
2,24,6,0,2,0,1,0,0,0,1,0
2,24,7,0,0,0,0,1,1,0,0,0
2,24,8,0,1,0,1,0,0,0,1,0
2,24,9,0,0,0,0,1,1,0,0,0
2,24,10,0,1,0,1,0,0,0,1,0
2,24,11,0,3,0,1,0,0,0,1,0
2,24,12,0,2,0,1,0,0,0,1,0
2,24,13,0,0,0,0,1,1,0,0,0
2,24,14,1,1,0,0,1,0,0,0,1
2,24,15,0,0,0,0,1,1,0,0,0
3,31,1,2,2,0,0,1,0,0,0,1
3,31,2,0,2,0,1,0,0,0,1,0
3,31,3,3,4,0,1,0,0,0,0,1
3,31,4,0,0,0,0,1,1,0,0,0
3,31,5,3,0,1,0,0,0,1,0,0
3,31,6,0,5,0,1,0,0,0,1,0
3,31,7,0,5,0,1,0,0,0,1,0
3,31,8,0,5,0,1,0,0,0,1,0
3,31,9,5,1,1,0,0,0,0,0,1
3,31,10,0,5,0,1,0,0,0,1,0
3,31,11,4,0,1,0,0,0,1,0,0
3,31,12,0,5,0,1,0,0,0,1,0
3,31,13,1,5,0,1,0,0,0,0,1
3,31,14,0,4,0,1,0,0,0,1,0
3,31,15,3,0,1,0,0,0,1,0,0
3,32,1,0,4,0,1,0,0,0,1,0
3,32,2,0,4,0,1,0,0,0,1,0
3,32,3,0,5,0,1,0,0,0,1,0
3,32,4,1,0,1,0,0,0,1,0,0
3,32,5,0,3,0,1,0,0,0,1,0
3,32,6,3,0,1,0,0,0,1,0,0
3,32,7,0,3,0,1,0,0,0,1,0
3,32,8,3,0,1,0,0,0,1,0,0
3,32,9,0,3,0,1,0,0,0,1,0
3,32,10,0,1,0,1,0,0,0,1,0
3,32,11,0,3,0,1,0,0,0,1,0
3,32,12,0,4,0,1,0,0,0,1,0
3,32,13,0,3,0,1,0,0,0,1,0
3,32,14,4,1,1,0,0,0,0,0,1
3,32,15,0,1,0,1,0,0,0,1,0
3,33,1,3,2,1,0,0,0,0,0,1
3,33,2,1,1,0,0,1,0,0,0,1
3,33,3,2,2,0,0,1,0,0,0,1
3,33,4,1,0,1,0,0,0,1,0,0
3,33,5,2,3,0,1,0,0,0,0,1
